@relation  penbased
@attribute At1 integer[0,100]
@attribute At2 integer[0,100]
@attribute At3 integer[0,100]
@attribute At4 integer[0,100]
@attribute At5 integer[0,100]
@attribute At6 integer[0,100]
@attribute At7 integer[0,100]
@attribute At8 integer[0,100]
@attribute At9 integer[0,100]
@attribute At10 integer[0,100]
@attribute At11 integer[0,100]
@attribute At12 integer[0,100]
@attribute At13 integer[0,100]
@attribute At14 integer[0,100]
@attribute At15 integer[0,100]
@attribute At16 integer[0,100]
@attribute Class{0,1,2,3,4,5,6,7,8,9}
@inputs At1,At2,At3,At4,At5,At6,At7,At8,At9,At10,At11,At12,At13,At14,At15,At16
@outputs Class
@data
30, 90, 0, 53, 1, 11, 55, 0, 99, 28, 100, 70, 63, 100, 18, 75, 0
27, 86, 0, 50, 13, 2, 70, 0, 100, 44, 91, 94, 41, 100, 13, 56, 0
4, 76, 0, 33, 34, 0, 84, 17, 100, 61, 72, 100, 25, 90, 14, 45, 0
45, 100, 7, 61, 0, 10, 60, 0, 100, 43, 96, 93, 38, 96, 15, 48, 0
75, 100, 26, 84, 0, 42, 13, 0, 69, 7, 100, 46, 84, 89, 33, 85, 0
3, 77, 0, 37, 34, 0, 84, 19, 100, 64, 66, 100, 20, 71, 22, 25, 0
62, 100, 14, 91, 0, 54, 12, 17, 55, 0, 96, 21, 100, 60, 79, 95, 0
36, 92, 7, 77, 0, 30, 35, 0, 81, 15, 100, 58, 76, 99, 27, 100, 0
31, 88, 5, 50, 4, 8, 57, 0, 100, 30, 100, 71, 56, 100, 0, 92, 0
79, 100, 28, 87, 0, 52, 7, 13, 57, 0, 99, 26, 100, 65, 71, 100, 0
18, 93, 0, 67, 8, 24, 54, 0, 100, 25, 98, 69, 59, 100, 5, 86, 0
70, 92, 12, 52, 26, 0, 100, 43, 88, 100, 13, 58, 61, 68, 0, 11, 0
0, 100, 1, 58, 20, 17, 58, 0, 94, 19, 100, 64, 69, 92, 28, 90, 0
53, 100, 21, 79, 0, 39, 9, 0, 73, 11, 100, 49, 75, 87, 9, 92, 0
16, 75, 0, 30, 27, 0, 71, 13, 100, 49, 96, 95, 52, 100, 24, 65, 0
22, 99, 0, 50, 25, 3, 76, 0, 100, 47, 83, 100, 34, 99, 10, 52, 0
27, 100, 6, 95, 0, 42, 30, 0, 79, 4, 100, 51, 74, 96, 24, 98, 0
25, 76, 0, 47, 20, 0, 83, 22, 100, 69, 49, 100, 3, 65, 13, 17, 0
14, 63, 1, 32, 34, 0, 78, 4, 100, 47, 79, 92, 37, 100, 0, 71, 0
18, 67, 0, 42, 23, 2, 68, 0, 100, 32, 93, 77, 54, 100, 21, 76, 0
3, 96, 0, 45, 16, 0, 67, 8, 100, 46, 98, 93, 48, 100, 14, 67, 0
58, 100, 15, 81, 0, 34, 32, 0, 81, 6, 100, 49, 77, 92, 29, 94, 0
38, 84, 7, 59, 0, 17, 45, 0, 87, 30, 100, 71, 64, 100, 11, 88, 0
19, 69, 14, 18, 45, 0, 83, 27, 100, 73, 67, 100, 24, 86, 0, 47, 0
15, 70, 20, 32, 54, 0, 96, 24, 100, 66, 68, 100, 16, 92, 0, 52, 0
48, 99, 17, 66, 0, 26, 35, 0, 82, 24, 100, 64, 78, 100, 25, 86, 0
41, 96, 6, 63, 0, 11, 48, 0, 92, 31, 100, 82, 51, 100, 18, 62, 0
27, 76, 1, 42, 16, 0, 70, 3, 100, 40, 92, 84, 44, 100, 0, 73, 0
35, 100, 0, 67, 4, 19, 52, 0, 100, 18, 100, 66, 60, 97, 10, 89, 0
96, 36, 83, 81, 42, 100, 9, 65, 0, 20, 42, 0, 88, 20, 100, 62, 0
20, 95, 10, 37, 38, 0, 78, 11, 100, 57, 73, 100, 33, 96, 0, 62, 0
31, 100, 2, 56, 12, 3, 60, 0, 100, 35, 91, 85, 42, 90, 0, 60, 0
58, 100, 19, 74, 0, 32, 27, 0, 76, 25, 100, 65, 74, 99, 18, 85, 0
43, 95, 12, 85, 0, 40, 29, 4, 75, 0, 100, 37, 79, 78, 38, 100, 0
61, 97, 21, 90, 0, 43, 22, 0, 73, 12, 100, 55, 78, 100, 26, 94, 0
49, 100, 15, 80, 0, 37, 22, 1, 67, 0, 100, 31, 100, 75, 62, 92, 0
40, 94, 0, 66, 5, 23, 55, 0, 98, 26, 100, 70, 62, 100, 6, 84, 0
38, 73, 5, 64, 0, 15, 53, 0, 98, 34, 100, 83, 47, 100, 20, 60, 0
46, 100, 28, 86, 6, 42, 23, 0, 82, 13, 100, 56, 62, 92, 0, 88, 0
52, 100, 16, 70, 0, 35, 3, 0, 66, 10, 100, 41, 98, 77, 51, 93, 0
25, 100, 1, 63, 0, 21, 41, 0, 87, 16, 100, 57, 74, 93, 25, 89, 0
62, 83, 21, 69, 0, 33, 25, 1, 68, 0, 100, 29, 97, 70, 67, 100, 0
14, 40, 19, 0, 58, 11, 85, 42, 100, 81, 70, 100, 30, 86, 0, 59, 0
35, 76, 0, 42, 11, 0, 65, 5, 100, 41, 97, 85, 49, 100, 9, 69, 0
30, 96, 0, 64, 10, 23, 50, 0, 89, 25, 100, 65, 76, 100, 25, 96, 0
32, 91, 11, 68, 0, 23, 42, 0, 85, 27, 100, 71, 66, 100, 20, 75, 0
25, 72, 15, 31, 47, 0, 93, 8, 100, 50, 73, 87, 28, 100, 0, 68, 0
91, 100, 28, 93, 0, 62, 0, 27, 39, 0, 89, 18, 100, 53, 91, 89, 0
37, 100, 1, 66, 9, 10, 58, 0, 100, 31, 97, 85, 48, 99, 0, 81, 0
23, 93, 5, 56, 19, 13, 68, 0, 100, 35, 92, 79, 45, 100, 0, 78, 0
68, 100, 24, 83, 0, 41, 13, 0, 60, 3, 99, 30, 100, 71, 55, 89, 0
10, 89, 0, 45, 20, 4, 65, 0, 99, 31, 100, 75, 61, 100, 16, 85, 0
6, 78, 0, 37, 19, 0, 76, 3, 100, 40, 99, 80, 51, 100, 7, 73, 0
36, 100, 5, 66, 0, 22, 40, 0, 85, 19, 100, 59, 65, 89, 15, 94, 0
70, 100, 25, 75, 0, 34, 25, 0, 73, 22, 100, 62, 75, 98, 23, 93, 0
42, 94, 1, 70, 0, 26, 44, 0, 92, 22, 100, 66, 64, 100, 17, 84, 0
47, 99, 11, 74, 0, 31, 30, 0, 75, 6, 100, 42, 89, 85, 49, 100, 0
18, 84, 0, 49, 14, 13, 58, 0, 92, 25, 100, 63, 73, 93, 27, 100, 0
43, 100, 9, 64, 0, 19, 44, 0, 90, 22, 100, 66, 66, 99, 15, 88, 0
47, 89, 20, 55, 36, 6, 80, 0, 100, 45, 77, 90, 32, 100, 0, 67, 0
21, 77, 0, 35, 29, 0, 69, 7, 100, 43, 85, 89, 44, 100, 12, 73, 0
100, 66, 48, 75, 12, 43, 0, 5, 47, 0, 89, 25, 86, 64, 61, 100, 0
1, 66, 0, 25, 39, 0, 84, 8, 100, 53, 75, 95, 32, 100, 12, 59, 0
16, 80, 9, 35, 40, 0, 86, 12, 100, 56, 80, 97, 32, 100, 0, 67, 0
40, 98, 17, 76, 0, 28, 35, 0, 84, 25, 100, 70, 55, 100, 4, 95, 0
100, 70, 58, 100, 10, 75, 0, 24, 48, 0, 100, 19, 97, 68, 45, 81, 0
58, 89, 15, 70, 0, 30, 33, 0, 79, 32, 100, 72, 67, 100, 18, 70, 0
35, 84, 0, 65, 4, 21, 49, 0, 95, 24, 100, 67, 64, 100, 5, 95, 0
44, 100, 15, 65, 0, 20, 35, 0, 78, 25, 100, 65, 65, 95, 21, 75, 0
46, 93, 9, 63, 0, 15, 45, 0, 90, 24, 100, 70, 60, 100, 19, 83, 0
48, 100, 12, 64, 0, 20, 43, 0, 91, 25, 100, 69, 62, 98, 13, 76, 0
59, 100, 17, 69, 0, 31, 32, 0, 86, 22, 100, 61, 78, 97, 16, 96, 0
26, 89, 7, 73, 0, 30, 45, 0, 97, 21, 100, 65, 64, 100, 9, 88, 0
24, 86, 0, 45, 17, 0, 66, 2, 100, 35, 88, 82, 44, 100, 2, 78, 0
48, 100, 8, 73, 0, 31, 29, 0, 78, 16, 100, 54, 79, 91, 33, 79, 0
50, 100, 5, 73, 0, 22, 49, 0, 100, 33, 98, 82, 41, 99, 8, 57, 0
19, 66, 3, 28, 34, 0, 77, 13, 100, 51, 78, 89, 34, 100, 0, 76, 0
36, 52, 0, 50, 6, 6, 56, 0, 97, 30, 100, 76, 58, 100, 24, 68, 0
32, 95, 1, 65, 0, 25, 35, 0, 79, 13, 100, 49, 81, 85, 37, 100, 0
29, 100, 0, 68, 9, 23, 47, 0, 90, 10, 100, 54, 73, 91, 30, 97, 0
23, 90, 0, 47, 16, 0, 74, 12, 100, 57, 76, 100, 20, 79, 2, 33, 0
23, 96, 0, 61, 2, 20, 37, 0, 75, 19, 100, 53, 95, 93, 55, 100, 0
32, 42, 26, 0, 71, 1, 100, 36, 87, 79, 45, 100, 0, 81, 0, 41, 0
9, 85, 0, 45, 16, 5, 63, 0, 95, 31, 100, 72, 65, 100, 19, 89, 0
52, 100, 12, 74, 0, 41, 12, 9, 66, 0, 100, 27, 98, 60, 79, 93, 0
17, 89, 0, 49, 2, 7, 51, 0, 91, 26, 100, 66, 67, 98, 18, 100, 0
9, 81, 5, 24, 54, 0, 99, 38, 100, 94, 48, 100, 8, 56, 0, 4, 0
22, 62, 16, 24, 47, 0, 89, 14, 100, 52, 76, 86, 34, 100, 0, 78, 0
40, 100, 5, 67, 0, 28, 40, 0, 94, 18, 100, 57, 58, 84, 3, 67, 0
39, 90, 14, 75, 0, 34, 26, 0, 75, 0, 100, 35, 82, 74, 42, 100, 0
30, 96, 0, 66, 11, 8, 66, 0, 100, 47, 79, 100, 28, 81, 31, 30, 0
24, 100, 5, 57, 0, 13, 41, 0, 84, 25, 100, 65, 57, 86, 7, 87, 0
27, 73, 15, 37, 41, 0, 81, 7, 100, 50, 78, 92, 37, 100, 0, 77, 0
58, 100, 17, 78, 0, 37, 18, 0, 70, 4, 100, 38, 83, 78, 35, 83, 0
30, 96, 5, 58, 0, 16, 38, 0, 80, 17, 100, 56, 80, 93, 36, 100, 0
28, 100, 5, 70, 0, 27, 44, 0, 98, 23, 100, 64, 65, 100, 19, 89, 0
88, 63, 73, 100, 25, 98, 0, 55, 11, 11, 57, 0, 100, 23, 98, 68, 0
48, 97, 13, 62, 0, 21, 44, 0, 89, 29, 100, 70, 60, 100, 4, 84, 0
34, 91, 8, 49, 26, 2, 72, 0, 100, 42, 86, 93, 42, 100, 0, 75, 0
15, 84, 0, 57, 5, 17, 52, 0, 95, 28, 100, 67, 70, 100, 20, 87, 0
29, 100, 0, 66, 11, 24, 52, 0, 98, 14, 100, 55, 61, 83, 11, 85, 0
19, 91, 0, 52, 10, 10, 63, 0, 99, 32, 100, 75, 56, 100, 7, 80, 0
24, 96, 0, 61, 7, 16, 43, 0, 82, 11, 100, 48, 78, 86, 39, 100, 0
0, 100, 3, 44, 33, 0, 75, 2, 100, 48, 74, 95, 32, 98, 12, 48, 0
75, 100, 31, 92, 1, 55, 0, 10, 46, 0, 84, 31, 100, 73, 68, 99, 0
66, 98, 24, 78, 0, 35, 24, 0, 74, 20, 100, 61, 79, 100, 29, 92, 0
21, 81, 0, 55, 7, 10, 56, 0, 97, 26, 100, 71, 62, 100, 15, 84, 0
49, 94, 10, 70, 0, 33, 25, 0, 82, 9, 100, 44, 91, 81, 42, 100, 0
63, 97, 17, 91, 0, 54, 15, 17, 59, 0, 94, 25, 100, 64, 86, 100, 0
65, 100, 18, 88, 0, 52, 11, 17, 58, 0, 99, 23, 100, 60, 85, 96, 0
7, 72, 1, 38, 31, 0, 82, 11, 100, 56, 76, 99, 26, 100, 0, 58, 0
29, 82, 0, 49, 10, 1, 57, 0, 95, 34, 100, 83, 55, 100, 9, 81, 0
32, 92, 21, 49, 32, 4, 79, 0, 100, 41, 81, 82, 33, 100, 0, 66, 0
59, 87, 23, 74, 0, 33, 21, 0, 68, 9, 100, 43, 87, 85, 43, 100, 0
39, 94, 0, 31, 42, 0, 100, 43, 95, 100, 30, 69, 49, 53, 30, 28, 0
65, 90, 24, 90, 0, 44, 19, 0, 67, 6, 100, 44, 91, 91, 44, 100, 0
13, 68, 15, 30, 42, 0, 86, 19, 100, 56, 84, 90, 33, 100, 0, 73, 0
