@relation  penbased
@attribute At1 integer[0,100]
@attribute At2 integer[0,100]
@attribute At3 integer[0,100]
@attribute At4 integer[0,100]
@attribute At5 integer[0,100]
@attribute At6 integer[0,100]
@attribute At7 integer[0,100]
@attribute At8 integer[0,100]
@attribute At9 integer[0,100]
@attribute At10 integer[0,100]
@attribute At11 integer[0,100]
@attribute At12 integer[0,100]
@attribute At13 integer[0,100]
@attribute At14 integer[0,100]
@attribute At15 integer[0,100]
@attribute At16 integer[0,100]
@attribute Class{0,1,2,3,4,5,6,7,8,9}
@inputs At1,At2,At3,At4,At5,At6,At7,At8,At9,At10,At11,At12,At13,At14,At15,At16
@outputs Class
@data
27, 97, 0, 57, 6, 14, 58, 0, 100, 30, 100, 72, 57, 100, 11, 74, 0
30, 86, 0, 42, 23, 0, 70, 3, 100, 41, 82, 90, 37, 100, 22, 54, 0
11, 80, 0, 34, 31, 0, 77, 17, 100, 60, 72, 100, 24, 94, 3, 51, 0
32, 100, 0, 58, 5, 7, 60, 0, 100, 38, 85, 85, 27, 86, 5, 42, 0
61, 100, 18, 82, 0, 41, 15, 0, 72, 8, 100, 47, 100, 90, 50, 82, 0
11, 84, 0, 34, 35, 0, 84, 19, 100, 67, 65, 100, 21, 70, 11, 24, 0
64, 100, 15, 93, 0, 56, 10, 19, 51, 0, 94, 20, 100, 57, 86, 94, 0
25, 100, 9, 78, 0, 34, 29, 0, 81, 6, 100, 47, 77, 85, 24, 96, 0
47, 85, 18, 62, 5, 20, 47, 0, 100, 24, 99, 66, 59, 98, 0, 100, 0
84, 81, 39, 100, 0, 66, 9, 18, 60, 0, 100, 33, 89, 80, 36, 92, 0
20, 100, 0, 61, 10, 16, 58, 0, 100, 26, 98, 71, 56, 99, 7, 89, 0
48, 100, 0, 43, 39, 0, 100, 52, 54, 87, 18, 48, 74, 78, 19, 19, 0
2, 100, 0, 55, 15, 16, 53, 0, 89, 18, 100, 59, 74, 91, 36, 79, 0
58, 100, 17, 83, 0, 41, 18, 0, 75, 5, 100, 45, 89, 87, 34, 88, 0
7, 69, 0, 25, 36, 0, 74, 10, 100, 49, 85, 95, 45, 100, 17, 67, 0
24, 87, 0, 62, 7, 0, 61, 0, 100, 44, 80, 100, 29, 93, 7, 36, 0
26, 98, 14, 82, 0, 37, 32, 0, 91, 14, 100, 59, 71, 100, 25, 99, 0
25, 90, 0, 48, 13, 0, 79, 13, 100, 61, 60, 100, 3, 73, 10, 29, 0
0, 70, 1, 29, 37, 0, 88, 5, 100, 43, 78, 79, 34, 100, 5, 70, 0
12, 87, 0, 44, 20, 4, 66, 0, 100, 30, 89, 75, 49, 100, 13, 77, 0
6, 83, 0, 39, 24, 0, 73, 11, 100, 51, 82, 94, 35, 100, 6, 62, 0
49, 100, 10, 79, 0, 32, 33, 0, 82, 8, 100, 51, 74, 90, 27, 97, 0
33, 86, 0, 55, 1, 12, 52, 0, 90, 34, 100, 76, 56, 100, 6, 77, 0
26, 70, 19, 25, 57, 0, 95, 21, 100, 68, 69, 100, 24, 88, 0, 48, 0
18, 59, 9, 22, 51, 0, 96, 21, 100, 63, 72, 100, 22, 93, 0, 55, 0
54, 87, 14, 56, 0, 17, 40, 0, 79, 32, 100, 70, 74, 100, 28, 73, 0
58, 100, 11, 60, 0, 10, 62, 0, 100, 44, 96, 94, 33, 97, 10, 49, 0
