@relation  australian
@attribute A1{0,1}
@attribute A2 real[16.0,8025.0]
@attribute A3 real[0.0,26335.0]
@attribute A4{1,2,3}
@attribute A5 integer[1,14]
@attribute A6 integer[1,9]
@attribute A7 real[0.0,14415.0]
@attribute A8{0,1}
@attribute A9{0,1}
@attribute A10 integer[0,67]
@attribute A11{0,1}
@attribute A12{1,2,3}
@attribute A13 integer[0,2000]
@attribute A14 integer[1,100001]
@attribute Class{0,1}
@inputs A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14
@outputs Class
@data
0, 3658.0, 29.0, 2, 1, 1, 0.0, 0, 1, 10, 0, 2, 200, 19, 0
1, 4717.0, 5835.0, 2, 9, 4, 55.0, 0, 0, 0, 0, 2, 465, 151, 0
1, 3225.0, 14.0, 1, 1, 1, 0.0, 0, 1, 2, 0, 2, 160, 2, 0
1, 295.0, 58.0, 2, 9, 4, 29.0, 0, 1, 1, 0, 2, 340, 2804, 0
1, 5183.0, 204.0, 1, 1, 1, 15.0, 0, 0, 0, 0, 2, 120, 2, 0
1, 34.0, 55.0, 1, 8, 4, 15.0, 0, 0, 0, 1, 2, 60, 1, 0
1, 2117.0, 0.0, 2, 8, 4, 5.0, 0, 0, 0, 1, 1, 0, 1, 0
1, 2458.0, 135.0, 1, 1, 1, 0.0, 0, 0, 0, 0, 2, 184, 1, 0
1, 3183.0, 25.0, 2, 6, 4, 75.0, 1, 0, 0, 1, 2, 523, 1, 0
1, 4058.0, 329.0, 2, 7, 4, 35.0, 0, 0, 0, 1, 1, 400, 1, 0
1, 4275.0, 4085.0, 2, 6, 4, 4.0, 0, 0, 0, 0, 2, 108, 101, 0
0, 2617.0, 2.0, 2, 5, 3, 0.0, 0, 0, 0, 1, 2, 276, 2, 0
1, 3892.0, 175.0, 2, 4, 4, 5.0, 0, 0, 0, 1, 2, 300, 3, 0
0, 225.0, 11.0, 1, 11, 4, 3.0, 1, 0, 0, 1, 2, 268, 1, 0
1, 3108.0, 3085.0, 2, 8, 4, 25.0, 0, 1, 2, 1, 2, 160, 42, 0
1, 215.0, 975.0, 2, 8, 4, 25.0, 1, 0, 0, 0, 2, 140, 1, 0
0, 2375.0, 71.0, 2, 9, 4, 25.0, 0, 1, 1, 1, 2, 240, 5, 0
1, 2267.0, 75.0, 2, 3, 4, 1585.0, 0, 1, 1, 1, 2, 400, 10, 0
1, 2917.0, 35.0, 2, 9, 4, 35.0, 1, 1, 3, 1, 2, 329, 1, 0
