@relation  australian
@attribute A1{0,1}
@attribute A2 real[16.0,8025.0]
@attribute A3 real[0.0,26335.0]
@attribute A4{1,2,3}
@attribute A5 integer[1,14]
@attribute A6 integer[1,9]
@attribute A7 real[0.0,14415.0]
@attribute A8{0,1}
@attribute A9{0,1}
@attribute A10 integer[0,67]
@attribute A11{0,1}
@attribute A12{1,2,3}
@attribute A13 integer[0,2000]
@attribute A14 integer[1,100001]
@attribute Class{0,1}
@inputs A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14
@outputs Class
@data
1, 3717.0, 4.0, 2, 8, 5, 5.0, 1, 0, 0, 1, 1, 280, 1, 0
0, 2275.0, 6165.0, 2, 6, 4, 165.0, 0, 0, 0, 0, 2, 220, 1001, 0
1, 3183.0, 4.0, 1, 7, 4, 4.0, 0, 0, 0, 0, 2, 0, 1, 0
1, 225.0, 115.0, 1, 7, 4, 15.0, 0, 0, 0, 1, 2, 0, 4001, 0
1, 4808.0, 375.0, 2, 3, 5, 1.0, 0, 0, 0, 0, 2, 100, 3, 0
1, 34.0, 45.0, 2, 6, 4, 1.0, 1, 0, 0, 1, 2, 240, 1, 0
1, 2042.0, 0.0, 2, 8, 4, 0.0, 0, 0, 0, 0, 3, 184, 1, 0
1, 2358.0, 179.0, 2, 8, 4, 54.0, 0, 0, 0, 1, 2, 136, 2, 0
1, 3292.0, 25.0, 2, 6, 4, 175.0, 0, 1, 2, 1, 2, 720, 1, 0
0, 3675.0, 471.0, 2, 1, 1, 0.0, 0, 0, 0, 0, 2, 160, 1, 0
1, 2108.0, 4125.0, 1, 3, 8, 4.0, 0, 0, 0, 0, 2, 140, 101, 0
1, 2683.0, 54.0, 2, 4, 1, 0.0, 0, 0, 0, 0, 2, 100, 1, 0
1, 4092.0, 225.0, 1, 14, 8, 10.0, 1, 0, 0, 1, 2, 176, 1, 0
0, 525.0, 7.0, 2, 6, 8, 3.0, 0, 0, 0, 0, 2, 0, 1, 0
1, 4783.0, 4165.0, 2, 14, 5, 85.0, 0, 0, 0, 1, 2, 520, 1, 0
1, 23.0, 625.0, 1, 6, 4, 125.0, 1, 0, 0, 0, 2, 180, 2, 0
0, 2458.0, 67.0, 2, 6, 8, 175.0, 1, 0, 0, 0, 2, 400, 1, 0
1, 2758.0, 325.0, 1, 11, 8, 5085.0, 0, 1, 2, 1, 2, 369, 2, 0
0, 3025.0, 55.0, 2, 4, 4, 55.0, 0, 0, 0, 1, 1, 100, 1, 0
0, 2525.0, 125.0, 2, 2, 4, 1.0, 0, 0, 0, 1, 2, 180, 1063, 0
1, 1708.0, 25.0, 2, 11, 4, 335.0, 0, 1, 4, 0, 2, 160, 9, 0
0, 2533.0, 2085.0, 2, 8, 8, 275.0, 1, 0, 0, 1, 2, 360, 2, 0
0, 4158.0, 104.0, 2, 6, 4, 665.0, 0, 0, 0, 0, 2, 240, 238, 0
1, 23.0, 75.0, 2, 7, 4, 5.0, 0, 0, 0, 1, 1, 320, 1, 0
1, 2525.0, 1.0, 2, 6, 4, 5.0, 0, 0, 0, 0, 2, 200, 1, 0
0, 5192.0, 65.0, 2, 3, 5, 3085.0, 0, 0, 0, 1, 2, 73, 1, 0
1, 2217.0, 225.0, 2, 3, 4, 125.0, 0, 0, 0, 0, 2, 160, 11, 0
1, 3157.0, 4.0, 1, 2, 4, 425.0, 0, 0, 0, 1, 2, 460, 1, 0
0, 32.0, 6.0, 2, 2, 4, 125.0, 0, 0, 0, 0, 2, 272, 1, 0
1, 5483.0, 155.0, 2, 10, 9, 0.0, 1, 1, 20, 0, 2, 152, 131, 0
1, 395.0, 1625.0, 2, 8, 4, 15.0, 0, 0, 0, 0, 2, 0, 317, 0
1, 2875.0, 15.0, 1, 8, 4, 15.0, 1, 0, 0, 1, 2, 0, 226, 0
0, 4083.0, 35.0, 2, 3, 5, 5.0, 0, 0, 0, 0, 1, 1160, 1, 0
0, 4817.0, 1335.0, 2, 3, 7, 335.0, 0, 0, 0, 0, 2, 0, 121, 0
1, 1725.0, 3.0, 2, 4, 4, 4.0, 0, 0, 0, 1, 2, 160, 41, 0
0, 2192.0, 11665.0, 2, 4, 8, 85.0, 0, 0, 0, 0, 2, 320, 6, 0
1, 3917.0, 25.0, 1, 3, 8, 10.0, 0, 0, 0, 1, 1, 200, 1, 0
0, 2858.0, 375.0, 2, 8, 4, 25.0, 0, 1, 1, 1, 2, 40, 155, 0
1, 2625.0, 154.0, 2, 9, 4, 125.0, 0, 0, 0, 0, 2, 100, 1, 0
0, 2958.0, 175.0, 1, 4, 4, 125.0, 0, 0, 0, 1, 2, 280, 1, 0
0, 1858.0, 10.0, 2, 2, 4, 415.0, 0, 0, 0, 0, 2, 80, 43, 0
1, 3108.0, 15.0, 1, 9, 4, 4.0, 0, 0, 0, 0, 1, 160, 1, 0
