@relation  australian
@attribute A1{0,1}
@attribute A2 real[16.0,8025.0]
@attribute A3 real[0.0,26335.0]
@attribute A4{1,2,3}
@attribute A5 integer[1,14]
@attribute A6 integer[1,9]
@attribute A7 real[0.0,14415.0]
@attribute A8{0,1}
@attribute A9{0,1}
@attribute A10 integer[0,67]
@attribute A11{0,1}
@attribute A12{1,2,3}
@attribute A13 integer[0,2000]
@attribute A14 integer[1,100001]
@attribute Class{0,1}
@inputs A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14
@outputs Class
@data
1, 3667.0, 2.0, 2, 3, 4, 25.0, 0, 0, 0, 1, 2, 221, 1, 0
0, 1917.0, 5415.0, 2, 3, 8, 29.0, 0, 0, 0, 0, 2, 80, 485, 0
1, 3157.0, 3.0, 1, 3, 5, 7.0, 0, 0, 0, 0, 2, 0, 2, 0
1, 2692.0, 225.0, 2, 3, 5, 5.0, 0, 0, 0, 1, 2, 640, 4001, 0
1, 4917.0, 229.0, 2, 1, 1, 29.0, 0, 0, 0, 0, 2, 200, 4, 0
1, 35.0, 25.0, 2, 3, 4, 1.0, 0, 0, 0, 1, 2, 210, 1, 0
0, 2083.0, 5.0, 1, 10, 2, 1.0, 0, 0, 0, 0, 2, 260, 1, 0
0, 2358.0, 115.0, 1, 4, 8, 3.0, 0, 0, 0, 1, 2, 20, 17, 0
1, 3233.0, 25.0, 2, 8, 4, 125.0, 0, 0, 0, 1, 2, 280, 1, 0
1, 3358.0, 335.0, 1, 13, 4, 85.0, 0, 0, 0, 0, 2, 180, 1, 0
1, 1633.0, 4085.0, 2, 3, 8, 415.0, 0, 0, 0, 1, 2, 120, 1, 0
1, 2675.0, 2.0, 2, 2, 4, 75.0, 0, 0, 0, 1, 2, 80, 1, 0
1, 4158.0, 175.0, 2, 4, 4, 21.0, 1, 0, 0, 0, 2, 160, 1, 0
0, 695.0, 6.0, 2, 1, 1, 0.0, 0, 0, 0, 0, 1, 0, 1, 0
1, 3525.0, 3165.0, 2, 14, 8, 375.0, 1, 0, 0, 1, 2, 680, 1, 0
0, 225.0, 415.0, 2, 3, 4, 335.0, 0, 0, 0, 1, 1, 144, 1, 0
1, 2475.0, 54.0, 2, 7, 4, 1.0, 0, 0, 0, 1, 2, 120, 2, 0
1, 2375.0, 12.0, 2, 8, 4, 2085.0, 0, 0, 0, 0, 1, 80, 1, 0
1, 3033.0, 5.0, 2, 2, 8, 85.0, 0, 0, 0, 1, 1, 252, 1, 0
1, 2633.0, 13.0, 2, 10, 2, 0.0, 0, 0, 0, 1, 2, 140, 1111, 0
1, 1758.0, 10.0, 2, 9, 8, 165.0, 0, 1, 1, 0, 2, 120, 2, 0
1, 2208.0, 2335.0, 2, 4, 4, 75.0, 0, 0, 0, 0, 2, 180, 1, 0
1, 4117.0, 125.0, 1, 9, 4, 25.0, 0, 0, 0, 0, 2, 0, 196, 0
1, 20.0, 0.0, 2, 2, 4, 5.0, 0, 0, 0, 0, 2, 144, 1, 0
1, 2408.0, 9.0, 2, 6, 4, 25.0, 0, 0, 0, 1, 2, 0, 1, 0
1, 5858.0, 271.0, 2, 8, 4, 2415.0, 0, 0, 0, 1, 2, 320, 1, 0
1, 2183.0, 154.0, 2, 4, 4, 85.0, 0, 0, 0, 1, 2, 356, 1, 0
1, 3157.0, 4.0, 1, 3, 4, 85.0, 0, 0, 0, 1, 2, 411, 1, 0
1, 25.0, 12.0, 2, 4, 4, 225.0, 1, 1, 2, 1, 2, 120, 6, 0
0, 5333.0, 165.0, 2, 1, 1, 0.0, 0, 0, 0, 1, 1, 62, 28, 0
0, 23.0, 1835.0, 2, 5, 3, 0.0, 0, 1, 1, 0, 2, 200, 54, 0
1, 2767.0, 75.0, 2, 11, 8, 165.0, 0, 0, 0, 1, 2, 220, 252, 0
1, 4058.0, 15.0, 2, 3, 5, 0.0, 0, 0, 0, 0, 1, 300, 1, 0
1, 5233.0, 1375.0, 1, 8, 8, 946.0, 1, 0, 0, 1, 2, 200, 101, 0
0, 1767.0, 0.0, 1, 5, 1, 0.0, 0, 0, 0, 0, 2, 86, 1, 0
1, 1933.0, 10915.0, 2, 8, 5, 585.0, 0, 1, 2, 1, 2, 200, 8, 0
0, 3875.0, 15.0, 2, 1, 1, 0.0, 0, 0, 0, 0, 2, 76, 1, 0
1, 2892.0, 375.0, 2, 8, 4, 29.0, 0, 0, 0, 0, 2, 220, 141, 0
1, 2617.0, 125.0, 1, 4, 8, 125.0, 0, 0, 0, 1, 2, 0, 18, 0
1, 2942.0, 125.0, 2, 9, 4, 175.0, 0, 0, 0, 0, 2, 200, 1, 0
1, 1867.0, 5.0, 2, 11, 4, 375.0, 1, 1, 2, 0, 2, 0, 39, 0
0, 3157.0, 35.0, 2, 2, 4, 3.0, 1, 0, 0, 1, 2, 300, 1, 0
0, 3308.0, 1625.0, 2, 2, 4, 54.0, 0, 0, 0, 1, 2, 0, 1, 0
1, 3008.0, 104.0, 1, 3, 5, 5.0, 1, 1, 10, 1, 2, 132, 29, 0
1, 3558.0, 75.0, 2, 4, 4, 15.0, 0, 0, 0, 1, 2, 231, 1, 0
1, 1708.0, 329.0, 2, 3, 4, 335.0, 0, 0, 0, 1, 2, 140, 3, 0
1, 1942.0, 725.0, 2, 7, 4, 4.0, 0, 1, 1, 0, 2, 100, 2, 0
1, 1833.0, 121.0, 1, 10, 2, 0.0, 0, 0, 0, 0, 2, 100, 1, 0
1, 2592.0, 875.0, 2, 4, 4, 375.0, 0, 1, 2, 1, 2, 174, 4, 0
1, 1883.0, 354.0, 1, 1, 1, 0.0, 0, 0, 0, 1, 2, 180, 2, 0
1, 235.0, 3165.0, 1, 4, 4, 415.0, 0, 1, 1, 1, 2, 280, 81, 0
1, 1792.0, 205.0, 2, 6, 4, 4.0, 0, 0, 0, 0, 2, 280, 751, 0
0, 2475.0, 13665.0, 2, 11, 8, 15.0, 0, 0, 0, 0, 2, 280, 2, 0
1, 2217.0, 585.0, 1, 1, 1, 0.0, 0, 0, 0, 0, 2, 100, 1, 0
1, 22.0, 79.0, 2, 9, 4, 29.0, 0, 1, 1, 0, 2, 420, 284, 0
1, 6333.0, 54.0, 2, 8, 4, 585.0, 1, 1, 3, 1, 2, 180, 1, 0
1, 2875.0, 1165.0, 2, 4, 4, 5.0, 1, 0, 0, 0, 1, 280, 1, 0
1, 3608.0, 254.0, 2, 1, 1, 0.0, 0, 0, 0, 0, 2, 0, 1001, 0
1, 3467.0, 108.0, 2, 7, 4, 1165.0, 0, 0, 0, 0, 1, 28, 1, 0
0, 2758.0, 3.0, 2, 7, 4, 279.0, 0, 1, 1, 1, 2, 280, 11, 0
1, 3417.0, 275.0, 2, 3, 5, 25.0, 0, 0, 0, 1, 2, 232, 201, 0
1, 1808.0, 675.0, 1, 7, 4, 4.0, 0, 0, 0, 0, 2, 140, 1, 0
0, 2433.0, 25.0, 1, 3, 5, 45.0, 0, 0, 0, 0, 2, 200, 457, 0
1, 3275.0, 2335.0, 2, 2, 8, 575.0, 0, 0, 0, 1, 2, 292, 1, 0
0, 235.0, 15.0, 2, 9, 4, 875.0, 0, 0, 0, 1, 2, 160, 1, 0
0, 1583.0, 7625.0, 2, 11, 4, 125.0, 0, 1, 1, 1, 2, 0, 161, 0
1, 34.0, 5085.0, 1, 3, 5, 1085.0, 0, 0, 0, 1, 2, 480, 1, 0
1, 2258.0, 15.0, 1, 6, 4, 54.0, 0, 0, 0, 1, 2, 120, 68, 0
1, 3483.0, 25.0, 1, 9, 4, 3.0, 0, 0, 0, 0, 1, 200, 1, 0
0, 2658.0, 254.0, 1, 1, 1, 0.0, 0, 0, 0, 1, 2, 180, 61, 0
1, 3642.0, 75.0, 1, 2, 4, 585.0, 0, 0, 0, 0, 2, 240, 4, 0
1, 2408.0, 875.0, 2, 7, 4, 85.0, 0, 1, 4, 0, 2, 254, 1951, 0
1, 215.0, 115.0, 2, 3, 4, 5.0, 1, 0, 0, 1, 2, 100, 69, 0
1, 1858.0, 1029.0, 2, 1, 1, 415.0, 0, 0, 0, 0, 2, 80, 1, 0
1, 2275.0, 115.0, 2, 3, 4, 415.0, 0, 0, 0, 0, 2, 0, 1, 0
1, 8025.0, 55.0, 2, 8, 4, 54.0, 1, 0, 0, 0, 2, 0, 341, 0
1, 3617.0, 18125.0, 2, 9, 4, 85.0, 0, 0, 0, 0, 2, 320, 3553, 0
1, 2267.0, 254.0, 1, 8, 8, 2585.0, 1, 0, 0, 0, 2, 0, 1, 1
0, 2817.0, 375.0, 2, 11, 4, 585.0, 1, 1, 4, 0, 2, 80, 1, 1
0, 2033.0, 10.0, 2, 8, 8, 1.0, 1, 1, 4, 0, 2, 50, 1466, 1
1, 3275.0, 15.0, 2, 13, 8, 55.0, 1, 1, 3, 1, 2, 0, 1, 1
0, 3308.0, 4625.0, 2, 11, 8, 1625.0, 1, 1, 2, 0, 2, 0, 1, 1
0, 285.0, 304.0, 1, 14, 8, 254.0, 1, 1, 1, 0, 2, 70, 1, 1
1, 2042.0, 1835.0, 2, 8, 4, 225.0, 1, 1, 1, 0, 2, 100, 151, 1
1, 3992.0, 54.0, 1, 6, 4, 5.0, 1, 1, 3, 0, 2, 200, 1001, 1
1, 4808.0, 604.0, 2, 4, 4, 4.0, 0, 0, 0, 0, 2, 0, 2691, 1
1, 5392.0, 9625.0, 2, 10, 4, 8665.0, 1, 1, 5, 0, 2, 0, 1, 1
1, 2617.0, 25.0, 2, 3, 5, 0.0, 1, 0, 0, 1, 2, 0, 1, 1
1, 2442.0, 12335.0, 2, 11, 8, 1585.0, 1, 0, 0, 1, 2, 120, 1, 1
0, 2083.0, 3.0, 2, 6, 4, 4.0, 1, 0, 0, 0, 2, 100, 1, 1
0, 225.0, 846.0, 1, 14, 4, 246.0, 0, 0, 0, 0, 2, 164, 1, 1
1, 4208.0, 104.0, 2, 9, 4, 5.0, 1, 1, 6, 1, 2, 500, 10001, 1
1, 4058.0, 5.0, 2, 8, 4, 5.0, 1, 1, 7, 0, 2, 0, 3066, 1
0, 47.0, 13.0, 2, 3, 5, 5165.0, 1, 1, 9, 1, 2, 0, 1, 1
0, 2692.0, 135.0, 2, 11, 8, 5.0, 1, 1, 2, 0, 2, 0, 5001, 1
0, 1842.0, 925.0, 2, 11, 4, 121.0, 1, 1, 4, 0, 2, 60, 541, 1
1, 1933.0, 95.0, 2, 11, 4, 1.0, 1, 0, 0, 1, 2, 60, 401, 1
0, 2475.0, 3.0, 2, 11, 8, 1835.0, 1, 1, 19, 0, 2, 0, 501, 1
1, 2283.0, 3.0, 2, 7, 4, 129.0, 1, 1, 1, 0, 2, 260, 801, 1
