@relation  australian
@attribute A1{0,1}
@attribute A2 real[16.0,8025.0]
@attribute A3 real[0.0,26335.0]
@attribute A4{1,2,3}
@attribute A5 integer[1,14]
@attribute A6 integer[1,9]
@attribute A7 real[0.0,14415.0]
@attribute A8{0,1}
@attribute A9{0,1}
@attribute A10 integer[0,67]
@attribute A11{0,1}
@attribute A12{1,2,3}
@attribute A13 integer[0,2000]
@attribute A14 integer[1,100001]
@attribute Class{0,1}
@inputs A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14
@outputs Class
@data
1, 3775.0, 7.0, 2, 11, 8, 115.0, 1, 1, 7, 1, 2, 300, 6, 0
1, 2075.0, 5085.0, 1, 5, 4, 29.0, 0, 0, 0, 0, 2, 140, 185, 0
1, 3208.0, 4.0, 1, 13, 4, 15.0, 0, 0, 0, 1, 2, 120, 1, 0
1, 2308.0, 25.0, 2, 1, 1, 85.0, 0, 0, 0, 1, 2, 100, 4209, 0
1, 5075.0, 585.0, 2, 1, 1, 0.0, 0, 0, 0, 0, 2, 145, 1, 0
1, 33.0, 25.0, 1, 9, 4, 7.0, 0, 0, 0, 1, 2, 280, 1, 0
0, 2108.0, 5.0, 1, 1, 1, 0.0, 0, 0, 0, 0, 2, 0, 1, 0
1, 2458.0, 125.0, 2, 8, 4, 25.0, 0, 0, 0, 0, 2, 110, 1, 0
1, 3242.0, 3.0, 2, 2, 4, 165.0, 0, 0, 0, 1, 2, 120, 1, 0
1, 3375.0, 275.0, 2, 3, 5, 0.0, 0, 0, 0, 0, 2, 180, 1, 0
1, 2858.0, 3625.0, 2, 6, 4, 25.0, 0, 0, 0, 1, 2, 100, 1, 0
1, 2567.0, 29.0, 1, 8, 4, 15.0, 0, 0, 0, 1, 2, 160, 1, 0
0, 4225.0, 175.0, 1, 8, 4, 0.0, 0, 0, 0, 1, 2, 150, 2, 0
0, 295.0, 2.0, 1, 10, 8, 2.0, 0, 0, 0, 0, 2, 256, 18, 0
0, 3192.0, 3125.0, 2, 1, 1, 304.0, 0, 1, 2, 1, 2, 200, 5, 0
1, 375.0, 835.0, 2, 10, 4, 4.0, 0, 0, 0, 0, 2, 120, 6, 0
0, 2483.0, 45.0, 2, 9, 4, 1.0, 0, 0, 0, 1, 2, 360, 7, 0
1, 3233.0, 75.0, 2, 10, 5, 1585.0, 1, 0, 0, 1, 1, 420, 1, 0
1, 2967.0, 75.0, 1, 8, 4, 4.0, 0, 0, 0, 0, 2, 240, 1, 0
1, 2675.0, 45.0, 1, 8, 5, 25.0, 0, 0, 0, 0, 2, 200, 1211, 0
0, 1633.0, 21.0, 2, 6, 4, 125.0, 0, 0, 0, 0, 2, 200, 2, 0
1, 3242.0, 2165.0, 1, 4, 1, 0.0, 0, 0, 0, 0, 2, 120, 1, 0
1, 4275.0, 3.0, 2, 3, 5, 1.0, 1, 0, 0, 0, 2, 0, 201, 0
0, 25.0, 11.0, 1, 6, 4, 45.0, 1, 0, 0, 0, 2, 120, 1, 0
1, 2342.0, 1.0, 2, 8, 4, 5.0, 0, 0, 0, 1, 1, 280, 1, 0
1, 4483.0, 7.0, 1, 8, 4, 1625.0, 0, 0, 0, 0, 2, 160, 3, 0
0, 2267.0, 335.0, 2, 11, 4, 75.0, 0, 0, 0, 0, 1, 160, 1, 0
1, 3067.0, 25.0, 2, 13, 8, 225.0, 0, 0, 0, 1, 1, 340, 1, 0
0, 49.0, 15.0, 2, 5, 3, 0.0, 1, 0, 0, 1, 2, 100, 28, 0
0, 5217.0, 0.0, 1, 1, 1, 0.0, 0, 0, 0, 0, 2, 0, 1, 0
1, 625.0, 1275.0, 1, 8, 8, 5.0, 1, 0, 0, 0, 2, 112, 1, 0
1, 2867.0, 145.0, 2, 2, 4, 125.0, 0, 0, 0, 0, 2, 0, 287, 0
1, 4092.0, 5.0, 1, 7, 4, 5.0, 0, 0, 0, 1, 2, 130, 1, 0
1, 4117.0, 1335.0, 2, 2, 4, 165.0, 0, 0, 0, 0, 2, 168, 1, 0
0, 1825.0, 10.0, 2, 9, 4, 1.0, 0, 1, 1, 0, 2, 120, 2, 0
1, 2583.0, 12835.0, 2, 13, 4, 5.0, 0, 0, 0, 0, 2, 0, 3, 0
0, 3908.0, 4.0, 2, 8, 4, 3.0, 0, 0, 0, 0, 2, 480, 1, 0
0, 2858.0, 354.0, 2, 3, 5, 5.0, 1, 0, 0, 1, 2, 171, 1, 0
0, 2525.0, 135.0, 1, 1, 1, 2.0, 0, 1, 1, 1, 2, 200, 2, 0
1, 2983.0, 204.0, 1, 14, 8, 4.0, 0, 0, 0, 0, 2, 128, 2, 0
1, 1883.0, 0.0, 2, 11, 4, 665.0, 0, 0, 0, 0, 2, 160, 2, 0
1, 3233.0, 35.0, 2, 4, 4, 5.0, 0, 0, 0, 1, 2, 232, 1, 0
0, 3392.0, 1585.0, 1, 1, 1, 0.0, 1, 0, 0, 0, 2, 320, 1, 0
1, 3425.0, 175.0, 2, 9, 5, 25.0, 1, 0, 0, 1, 2, 163, 1, 0
1, 3408.0, 65.0, 2, 6, 4, 125.0, 1, 0, 0, 1, 2, 443, 1, 0
1, 1692.0, 335.0, 1, 4, 4, 29.0, 0, 0, 0, 0, 1, 200, 1, 0
1, 2358.0, 835.0, 2, 3, 8, 85.0, 0, 0, 0, 1, 2, 220, 6, 0
1, 1825.0, 165.0, 2, 2, 4, 25.0, 0, 0, 0, 1, 1, 280, 1, 0
