@relation  ecoli
@attribute Mcg real[0.0,89.0]
@attribute Gvh real[1.0,88.0]
@attribute Lip real[1.0,48.0]
@attribute Chg real[1.0,5.0]
@attribute Aac real[0.0,88.0]
@attribute Alm1 real[1.0,94.0]
@attribute Alm2 real[0.0,99.0]
@attribute Site{cp,im,imS,imL,imU,om,omL,pp}
@inputs Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2
@outputs Site
@data
25.0, 26.0, 48.0, 5.0, 39.0, 32.0, 42.0, cp
51.0, 49.0, 48.0, 5.0, 53.0, 14.0, 26.0, cp
36.0, 39.0, 48.0, 5.0, 48.0, 22.0, 23.0, cp
34.0, 42.0, 48.0, 5.0, 41.0, 34.0, 43.0, cp
3.0, 37.0, 48.0, 5.0, 43.0, 18.0, 3.0, cp
52.0, 44.0, 48.0, 5.0, 37.0, 36.0, 42.0, cp
18.0, 3.0, 48.0, 5.0, 46.0, 24.0, 35.0, cp
3.0, 45.0, 48.0, 5.0, 36.0, 21.0, 32.0, cp
4.0, 29.0, 48.0, 5.0, 42.0, 35.0, 44.0, cp
65.0, 55.0, 48.0, 5.0, 34.0, 37.0, 28.0, cp
53.0, 38.0, 48.0, 5.0, 44.0, 26.0, 36.0, cp
3.0, 16.0, 48.0, 5.0, 56.0, 11.0, 23.0, cp
21.0, 51.0, 48.0, 5.0, 5.0, 32.0, 41.0, cp
42.0, 38.0, 48.0, 5.0, 54.0, 34.0, 43.0, cp
27.0, 3.0, 48.0, 5.0, 71.0, 28.0, 39.0, cp
44.0, 35.0, 48.0, 5.0, 55.0, 55.0, 61.0, cp
25.0, 51.0, 48.0, 5.0, 37.0, 42.0, 5.0, cp
23.0, 34.0, 48.0, 5.0, 43.0, 26.0, 37.0, cp
41.0, 51.0, 48.0, 5.0, 58.0, 2.0, 31.0, cp
7.0, 4.0, 48.0, 5.0, 54.0, 35.0, 44.0, cp
59.0, 49.0, 48.0, 5.0, 52.0, 45.0, 36.0, cp
53.0, 42.0, 48.0, 5.0, 16.0, 29.0, 39.0, cp
36.0, 54.0, 48.0, 5.0, 41.0, 38.0, 46.0, cp
24.0, 57.0, 48.0, 5.0, 63.0, 34.0, 43.0, cp
26.0, 26.0, 48.0, 5.0, 34.0, 25.0, 35.0, cp
29.0, 37.0, 48.0, 5.0, 48.0, 44.0, 52.0, cp
23.0, 58.0, 48.0, 5.0, 37.0, 53.0, 59.0, cp
51.0, 5.0, 48.0, 5.0, 46.0, 32.0, 35.0, cp
32.0, 33.0, 48.0, 5.0, 6.0, 6.0, 2.0, cp
66.0, 53.0, 48.0, 5.0, 59.0, 66.0, 66.0, im
61.0, 66.0, 48.0, 5.0, 46.0, 87.0, 88.0, im
6.0, 61.0, 48.0, 5.0, 49.0, 92.0, 37.0, im
73.0, 36.0, 48.0, 5.0, 53.0, 91.0, 92.0, im
27.0, 35.0, 48.0, 5.0, 51.0, 77.0, 79.0, im
31.0, 44.0, 48.0, 5.0, 5.0, 79.0, 82.0, im
5.0, 57.0, 48.0, 5.0, 71.0, 61.0, 66.0, im
36.0, 45.0, 48.0, 5.0, 38.0, 79.0, 17.0, im
7.0, 4.0, 48.0, 5.0, 56.0, 86.0, 83.0, im
48.0, 49.0, 48.0, 5.0, 52.0, 77.0, 71.0, im
89.0, 55.0, 48.0, 5.0, 51.0, 72.0, 76.0, im
71.0, 4.0, 48.0, 5.0, 71.0, 7.0, 74.0, im
51.0, 4.0, 48.0, 5.0, 57.0, 62.0, 67.0, im
48.0, 41.0, 48.0, 5.0, 51.0, 9.0, 88.0, im
6.0, 5.0, 1.0, 5.0, 54.0, 77.0, 8.0, im
5.0, 66.0, 48.0, 5.0, 31.0, 92.0, 92.0, im
63.0, 49.0, 48.0, 5.0, 54.0, 76.0, 79.0, imS
75.0, 55.0, 1.0, 1.0, 4.0, 47.0, 3.0, imL
84.0, 49.0, 48.0, 5.0, 55.0, 78.0, 74.0, imU
67.0, 37.0, 48.0, 5.0, 54.0, 64.0, 68.0, imU
49.0, 61.0, 1.0, 5.0, 56.0, 71.0, 74.0, imU
78.0, 33.0, 48.0, 5.0, 57.0, 77.0, 79.0, imU
81.0, 52.0, 48.0, 5.0, 57.0, 78.0, 8.0, imU
81.0, 53.0, 48.0, 5.0, 57.0, 87.0, 88.0, imU
66.0, 48.0, 48.0, 5.0, 54.0, 7.0, 74.0, imU
64.0, 57.0, 48.0, 5.0, 7.0, 33.0, 26.0, om
68.0, 63.0, 48.0, 5.0, 73.0, 4.0, 3.0, om
74.0, 78.0, 48.0, 5.0, 75.0, 54.0, 15.0, om
74.0, 9.0, 48.0, 5.0, 57.0, 53.0, 29.0, om
68.0, 49.0, 1.0, 5.0, 62.0, 55.0, 28.0, omL
75.0, 84.0, 48.0, 5.0, 35.0, 52.0, 33.0, pp
67.0, 61.0, 48.0, 5.0, 51.0, 37.0, 38.0, pp
72.0, 86.0, 48.0, 5.0, 17.0, 55.0, 21.0, pp
7.0, 71.0, 48.0, 5.0, 42.0, 84.0, 85.0, pp
64.0, 72.0, 48.0, 5.0, 49.0, 42.0, 19.0, pp
29.0, 39.0, 48.0, 5.0, 52.0, 4.0, 48.0, pp
57.0, 59.0, 48.0, 5.0, 39.0, 47.0, 33.0, pp
69.0, 67.0, 48.0, 5.0, 3.0, 39.0, 24.0, pp
74.0, 74.0, 48.0, 5.0, 31.0, 53.0, 52.0, pp
63.0, 8.0, 48.0, 5.0, 46.0, 31.0, 29.0, pp
63.0, 57.0, 48.0, 5.0, 49.0, 7.0, 2.0, pp
