@relation  ecoli
@attribute Mcg real[0.0,89.0]
@attribute Gvh real[1.0,88.0]
@attribute Lip real[1.0,48.0]
@attribute Chg real[1.0,5.0]
@attribute Aac real[0.0,88.0]
@attribute Alm1 real[1.0,94.0]
@attribute Alm2 real[0.0,99.0]
@attribute Site{cp,im,imS,imL,imU,om,omL,pp}
@inputs Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2
@outputs Site
@data
25.0, 37.0, 48.0, 5.0, 41.0, 33.0, 42.0, cp
42.0, 35.0, 48.0, 5.0, 58.0, 15.0, 27.0, cp
39.0, 32.0, 48.0, 5.0, 46.0, 24.0, 35.0, cp
34.0, 33.0, 48.0, 5.0, 38.0, 35.0, 44.0, cp
4.0, 45.0, 48.0, 5.0, 38.0, 22.0, 0.0, cp
51.0, 37.0, 48.0, 5.0, 35.0, 36.0, 45.0, cp
23.0, 4.0, 48.0, 5.0, 39.0, 28.0, 38.0, cp
3.0, 44.0, 48.0, 5.0, 49.0, 22.0, 33.0, cp
4.0, 35.0, 48.0, 5.0, 45.0, 33.0, 42.0, cp
57.0, 54.0, 48.0, 5.0, 37.0, 28.0, 33.0, cp
52.0, 36.0, 48.0, 5.0, 41.0, 28.0, 38.0, cp
38.0, 26.0, 48.0, 5.0, 54.0, 16.0, 28.0, cp
28.0, 38.0, 48.0, 5.0, 5.0, 33.0, 42.0, cp
43.0, 37.0, 48.0, 5.0, 53.0, 35.0, 44.0, cp
38.0, 4.0, 48.0, 5.0, 63.0, 25.0, 35.0, cp
44.0, 27.0, 48.0, 5.0, 55.0, 52.0, 58.0, cp
44.0, 49.0, 48.0, 5.0, 39.0, 38.0, 4.0, cp
25.0, 37.0, 48.0, 5.0, 43.0, 26.0, 36.0, cp
38.0, 44.0, 48.0, 5.0, 43.0, 2.0, 31.0, cp
25.0, 4.0, 48.0, 5.0, 46.0, 44.0, 52.0, cp
61.0, 36.0, 48.0, 5.0, 49.0, 35.0, 44.0, cp
44.0, 34.0, 48.0, 5.0, 3.0, 33.0, 43.0, cp
34.0, 51.0, 48.0, 5.0, 44.0, 37.0, 46.0, cp
34.0, 55.0, 48.0, 5.0, 58.0, 31.0, 41.0, cp
24.0, 35.0, 48.0, 5.0, 31.0, 19.0, 31.0, cp
36.0, 41.0, 48.0, 5.0, 48.0, 47.0, 54.0, cp
2.0, 44.0, 48.0, 5.0, 46.0, 51.0, 57.0, cp
49.0, 29.0, 48.0, 5.0, 56.0, 24.0, 35.0, cp
31.0, 23.0, 48.0, 5.0, 73.0, 5.0, 14.0, cp
63.0, 65.0, 48.0, 5.0, 66.0, 67.0, 71.0, im
46.0, 61.0, 48.0, 5.0, 48.0, 86.0, 87.0, im
3.0, 51.0, 48.0, 5.0, 42.0, 61.0, 34.0, im
58.0, 34.0, 48.0, 5.0, 56.0, 87.0, 81.0, im
39.0, 41.0, 48.0, 5.0, 52.0, 72.0, 75.0, im
54.0, 49.0, 48.0, 5.0, 4.0, 87.0, 88.0, im
12.0, 67.0, 48.0, 5.0, 74.0, 58.0, 63.0, im
33.0, 56.0, 48.0, 5.0, 33.0, 78.0, 8.0, im
4.0, 5.0, 48.0, 5.0, 65.0, 82.0, 84.0, im
47.0, 59.0, 48.0, 5.0, 52.0, 76.0, 79.0, im
84.0, 44.0, 48.0, 5.0, 48.0, 71.0, 74.0, im
58.0, 55.0, 48.0, 5.0, 57.0, 7.0, 74.0, im
45.0, 4.0, 48.0, 5.0, 61.0, 74.0, 77.0, im
12.0, 43.0, 48.0, 5.0, 63.0, 7.0, 74.0, im
48.0, 45.0, 48.0, 5.0, 6.0, 78.0, 8.0, im
34.0, 67.0, 48.0, 5.0, 52.0, 76.0, 79.0, im
85.0, 53.0, 48.0, 5.0, 53.0, 52.0, 35.0, imS
7.0, 39.0, 1.0, 5.0, 51.0, 82.0, 84.0, imL
87.0, 49.0, 48.0, 5.0, 61.0, 76.0, 79.0, imU
64.0, 45.0, 48.0, 5.0, 67.0, 61.0, 66.0, imU
47.0, 46.0, 48.0, 5.0, 62.0, 74.0, 77.0, imU
73.0, 26.0, 48.0, 5.0, 57.0, 75.0, 78.0, imU
79.0, 36.0, 48.0, 5.0, 46.0, 82.0, 7.0, imU
86.0, 55.0, 48.0, 5.0, 63.0, 81.0, 83.0, imU
75.0, 37.0, 48.0, 5.0, 64.0, 7.0, 74.0, imU
61.0, 75.0, 48.0, 5.0, 51.0, 33.0, 33.0, om
67.0, 88.0, 48.0, 5.0, 73.0, 5.0, 25.0, om
73.0, 84.0, 48.0, 5.0, 86.0, 58.0, 29.0, om
65.0, 51.0, 48.0, 5.0, 66.0, 54.0, 33.0, om
66.0, 49.0, 1.0, 5.0, 54.0, 56.0, 36.0, omL
63.0, 86.0, 48.0, 5.0, 39.0, 47.0, 34.0, pp
71.0, 57.0, 48.0, 5.0, 48.0, 35.0, 32.0, pp
71.0, 86.0, 48.0, 5.0, 4.0, 54.0, 32.0, pp
7.0, 64.0, 48.0, 5.0, 47.0, 51.0, 47.0, pp
67.0, 81.0, 48.0, 5.0, 54.0, 49.0, 23.0, pp
32.0, 39.0, 48.0, 5.0, 53.0, 28.0, 38.0, pp
65.0, 57.0, 48.0, 5.0, 47.0, 47.0, 51.0, pp
64.0, 78.0, 48.0, 5.0, 5.0, 36.0, 38.0, pp
62.0, 78.0, 48.0, 5.0, 47.0, 49.0, 54.0, pp
61.0, 6.0, 48.0, 5.0, 44.0, 39.0, 38.0, pp
63.0, 71.0, 48.0, 5.0, 6.0, 4.0, 39.0, pp
