@relation  ecoli
@attribute Mcg real[0.0,89.0]
@attribute Gvh real[1.0,88.0]
@attribute Lip real[1.0,48.0]
@attribute Chg real[1.0,5.0]
@attribute Aac real[0.0,88.0]
@attribute Alm1 real[1.0,94.0]
@attribute Alm2 real[0.0,99.0]
@attribute Site{cp,im,imS,imL,imU,om,omL,pp}
@inputs Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2
@outputs Site
@data
34.0, 28.0, 48.0, 5.0, 41.0, 35.0, 44.0, cp
47.0, 47.0, 48.0, 5.0, 22.0, 16.0, 26.0, cp
24.0, 41.0, 48.0, 5.0, 49.0, 23.0, 34.0, cp
27.0, 42.0, 48.0, 5.0, 37.0, 38.0, 43.0, cp
4.0, 42.0, 48.0, 5.0, 37.0, 27.0, 27.0, cp
51.0, 54.0, 48.0, 5.0, 41.0, 34.0, 43.0, cp
25.0, 4.0, 48.0, 5.0, 47.0, 33.0, 42.0, cp
4.0, 41.0, 48.0, 5.0, 55.0, 22.0, 33.0, cp
4.0, 5.0, 48.0, 5.0, 45.0, 39.0, 47.0, cp
61.0, 45.0, 48.0, 5.0, 48.0, 35.0, 41.0, cp
44.0, 28.0, 48.0, 5.0, 43.0, 27.0, 37.0, cp
29.0, 3.0, 48.0, 5.0, 45.0, 3.0, 17.0, cp
31.0, 47.0, 48.0, 5.0, 29.0, 28.0, 39.0, cp
36.0, 42.0, 48.0, 5.0, 53.0, 32.0, 41.0, cp
42.0, 3.0, 48.0, 5.0, 48.0, 26.0, 36.0, cp
34.0, 35.0, 48.0, 5.0, 51.0, 49.0, 56.0, cp
37.0, 52.0, 48.0, 5.0, 42.0, 42.0, 36.0, cp
23.0, 32.0, 48.0, 5.0, 55.0, 25.0, 35.0, cp
47.0, 28.0, 48.0, 5.0, 56.0, 2.0, 25.0, cp
56.0, 4.0, 48.0, 5.0, 49.0, 37.0, 46.0, cp
41.0, 48.0, 48.0, 5.0, 51.0, 44.0, 51.0, cp
41.0, 43.0, 48.0, 5.0, 45.0, 31.0, 41.0, cp
29.0, 41.0, 48.0, 5.0, 48.0, 38.0, 46.0, cp
33.0, 45.0, 48.0, 5.0, 52.0, 32.0, 41.0, cp
39.0, 31.0, 48.0, 5.0, 38.0, 34.0, 43.0, cp
5.0, 49.0, 48.0, 5.0, 49.0, 46.0, 53.0, cp
44.0, 56.0, 48.0, 5.0, 5.0, 46.0, 54.0, cp
25.0, 48.0, 48.0, 5.0, 44.0, 17.0, 29.0, cp
63.0, 75.0, 48.0, 5.0, 64.0, 73.0, 66.0, im
54.0, 57.0, 48.0, 5.0, 56.0, 81.0, 83.0, im
1.0, 49.0, 48.0, 5.0, 41.0, 67.0, 21.0, im
31.0, 36.0, 48.0, 5.0, 58.0, 94.0, 94.0, im
41.0, 51.0, 48.0, 5.0, 53.0, 75.0, 78.0, im
6.0, 46.0, 48.0, 5.0, 45.0, 81.0, 83.0, im
29.0, 47.0, 48.0, 5.0, 71.0, 65.0, 69.0, im
34.0, 49.0, 48.0, 5.0, 58.0, 85.0, 8.0, im
11.0, 5.0, 48.0, 5.0, 58.0, 72.0, 68.0, im
52.0, 54.0, 48.0, 5.0, 62.0, 76.0, 79.0, im
68.0, 51.0, 48.0, 5.0, 71.0, 75.0, 78.0, im
59.0, 56.0, 48.0, 5.0, 55.0, 8.0, 82.0, im
63.0, 5.0, 48.0, 5.0, 59.0, 85.0, 86.0, im
61.0, 47.0, 48.0, 5.0, 0.0, 8.0, 32.0, im
16.0, 51.0, 48.0, 5.0, 33.0, 39.0, 48.0, im
83.0, 48.0, 48.0, 5.0, 65.0, 76.0, 79.0, imU
81.0, 44.0, 48.0, 5.0, 42.0, 67.0, 68.0, imU
62.0, 42.0, 48.0, 5.0, 58.0, 79.0, 81.0, imU
79.0, 41.0, 48.0, 5.0, 66.0, 81.0, 83.0, imU
84.0, 54.0, 48.0, 5.0, 75.0, 92.0, 7.0, imU
76.0, 71.0, 48.0, 5.0, 5.0, 71.0, 75.0, imU
57.0, 38.0, 48.0, 5.0, 6.0, 49.0, 33.0, imU
69.0, 59.0, 48.0, 5.0, 77.0, 39.0, 21.0, om
77.0, 57.0, 48.0, 5.0, 88.0, 53.0, 2.0, om
68.0, 76.0, 48.0, 5.0, 84.0, 45.0, 27.0, om
52.0, 81.0, 48.0, 5.0, 72.0, 38.0, 38.0, om
71.0, 46.0, 1.0, 5.0, 52.0, 59.0, 3.0, omL
66.0, 86.0, 48.0, 5.0, 34.0, 41.0, 36.0, pp
63.0, 65.0, 48.0, 5.0, 39.0, 44.0, 35.0, pp
63.0, 83.0, 48.0, 5.0, 4.0, 39.0, 19.0, pp
43.0, 59.0, 48.0, 5.0, 52.0, 49.0, 56.0, pp
62.0, 83.0, 48.0, 5.0, 46.0, 36.0, 4.0, pp
66.0, 71.0, 48.0, 5.0, 41.0, 5.0, 35.0, pp
69.0, 59.0, 48.0, 5.0, 46.0, 44.0, 52.0, pp
74.0, 47.0, 48.0, 5.0, 5.0, 57.0, 42.0, pp
63.0, 1.0, 48.0, 5.0, 35.0, 51.0, 49.0, pp
69.0, 8.0, 48.0, 5.0, 46.0, 57.0, 26.0, pp
